metabolite_id,old_formula,new_formula
nmn_c,C11H14N2O8P;C11H13N2O8P,C11H14N2O8P
nh4_e,H4N;NH4,H4N
nh4_p,H4N;NH4,H4N
nmn_p,C11H14N2O8P;C11H13N2O8P,C11H14N2O8P
nmn_e,C11H14N2O8P;C11H13N2O8P,C11H14N2O8P
pi_p,HPO4;HO4P,HPO4
dimp_c,C10H11N4O7P;C10H12N4O7P,C10H11N4O7P
udcpo4_c,C79H132O24P2;C79H130O24P2,C79H132O24P2
pnto__R_c,C9H16NO5;C9H15NO5,C9H16NO5
pheme_p,C34H32FeN4O4;C34FeH30N4O4;C34H30FeN4O4,C34H32FeN4O4
pheme_e,C34H32FeN4O4;C34FeH30N4O4;C34H30FeN4O4,C34H32FeN4O4
pi_e,HPO4;HO4P,HPO4
4ppan_c,C9H15NO8P;C9H14NO8P,C9H15NO8P
pnto__R_e,C9H16NO5;C9H15NO5,C9H16NO5
4ppcys_c,C12H20N2O9PS;C12H19N2O9PS,C12H20N2O9PS
fpram_c,C8H14N3O8P;C8H15N3O8P,C8H14N3O8P
prfp_c,C15H22N5O15P2;C15H21N5O15P2,C15H22N5O15P2
salcn6p_c,C13H19O10P;C13H17O10P,C13H19O10P
dscl_c,C42H40N4O16;C42H41N4O16,C42H40N4O16
tsul_c,HS2O3;O3S2,HS2O3
so3_p,O3S;HSO3,O3S
so3_e,O3S;HSO3,O3S
so4_e,O4S;SO4,O4S
so4_p,O4S;SO4,O4S
taur_e,C2H7NO3S;C2H6NO3S,C2H7NO3S
taur_p,C2H7NO3S;C2H6NO3S,C2H7NO3S
tsul_e,HS2O3;O3S2,HS2O3
tsul_p,HS2O3;O3S2,HS2O3
urea_e,CH4N2O;CH5N2O,CH4N2O
oaa_e,C4H2O6,C4H2O5
clava_c,C8H8N1O5,C8H9NO5
pencil_c,C9H11N2O4SR,C14H21N3O6S
carbox_c,CO2R,C6H10NO4
clava_e,C16H22N4O9S1,C8H9NO5
carbox_e,CO2R,C6H10NO4
