,kcat,data_type,MW,kcat_MW
DHPS2_num1,0.042133333333333335,Other_species,30812.497500000038,4.922677884192926
DHQS_num1,6.5,Other_species,76452.3930000001,306.0728262619585
DHQTi,52.663,Other_species,188778.0803999998,1004.2839698247096
DHXFUTC_num1,6455.7993281475,fill,534958.6056000012,43444.25407506885
DMATT_num1,0.7394000000000001,Other_species,42282.15380000008,62.95421970675474
DMPPS,2.64,Other_species,445060.7760000009,21.354386889398633
DNMPPA_num1,0.27020520828125,Other_species,78931.87150000043,12.32377658513386
DNTPPA_num1,4.10015,Other_species,17951.682899999993,822.2371173902591
DPCOAK,5.48635,Other_species,251934.2435999998,78.39688530535281
DPR,20.302857142857142,Other_species,479864.8368000001,152.3143187604483
DRBK,14.272857142857143,Other_species,34325.31400000004,1496.921068640061
DRIBabc_num1,6455.7993281475,fill,45618.85620000004,509457.7005490765
DRPA,109.62,Other_species,399202.2192000001,988.5516187531251
DSERDHr,6455.7993281475,fill,28185.446200000006,824570.1493038984
DSERt2,6455.7993281475,fill,53439.05700000006,434904.3356309782
DTARTD,13.55,Other_species,61193.74720000016,797.140267298419
DTMPK,4.61,Other_species,236680.1592000013,70.1199460744655
DTMPtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
DURIK1,3.141,Other_species,104705.30839999995,107.99452456414335
DUTPDP_num1,19.850952380952382,Other_species,72232.63959999988,989.3509217878382
DXPRIi,1089.2010625,Other_species,172786.27320000052,22693.491516315593
DXPS,6.2,Other_species,146448.6866000006,152.40833167021322
E4PD,43.36666666666667,Other_species,72086.91380000005,2165.7190157029568
ECOAH1_num1,1111.9,Other_species,27326.008499999993,146484.62105250394
ECOAH2_num1,1111.9,Other_species,27326.008499999993,146484.62105250394
ECOAH3_num1,1111.9,Other_species,27326.008499999993,146484.62105250394
ECOAH4_num1,1111.9,Other_species,27326.008499999993,146484.62105250394
ECOAH5_num1,1111.9,Other_species,27326.008499999993,146484.62105250394
ECOAH6_num1,1111.9,Other_species,27326.008499999993,146484.62105250394
ECOAH7_num1,1111.9,Other_species,27326.008499999993,146484.62105250394
ECOAH8_num1,1111.9,Other_species,27326.008499999993,146484.62105250394
ECOAH9ir_num1,1111.9,Other_species,27326.008499999993,146484.62105250394
EDA,55.95689230769231,Other_species,62165.39159999997,3240.465589019026
ENO,67.05314444444444,Other_species,145560.6243000002,1658.3558992059068
ENTCS,6455.7993281475,fill,27207.530399999996,854207.5388558973
ETHAt6,6455.7993281475,fill,51598.3946000001,450418.61789496365
ETHSabc_num1,6455.7993281475,fill,31407.62830000001,739975.5676977047
ETHSO3abcpp_num1,6455.7993281475,fill,31766.00139999999,731627.4179012977
ETHSO3tex,6455.7993281475,fill,26370.112100000006,881334.0456497717
ETOHtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
FA140ACPHi,4.33155,Other_species,15013.961799999986,1038.6052800533976
FA141ACPHi,4.33155,Other_species,15013.961799999986,1038.6052800533976
FA160ACPHi,4.33155,Other_species,15013.961799999986,1038.6052800533976
FA161ACPHi,4.33155,Other_species,15013.961799999986,1038.6052800533976
FACOAE100,52.842999999999996,Other_species,125712.95000000004,1513.2474418904333
FACOAE120,52.842999999999996,Other_species,125712.95000000004,1513.2474418904333
FACOAE140,52.842999999999996,Other_species,125712.95000000004,1513.2474418904333
